material,weight_capacity,fragility,recyclability,co2_score,strength,biodegradability
Paper,199,Low,1,0.179,0.995,9
Metal,1696,Medium,1,3.053,8.48,5
Plastic,1308,Medium,1,2.747,6.54,2
Plastic,452,Medium,1,0.949,2.26,2
Bioplastic,1104,Medium,1,0.773,5.52,7
Glass,294,Medium,0,0.441,1.47,6
Paper,653,High,1,0.588,3.265,9
Metal,834,Low,1,1.501,4.17,5
Plastic,1425,High,1,2.993,7.125,2
Plastic,629,Low,0,1.321,3.145,2
Ceramic,685,Medium,0,0.822,3.425,5
Ceramic,1553,High,1,1.864,7.765,5
Plastic,988,Low,1,2.075,4.94,2
Plastic,562,Low,0,1.18,2.81,2
Plastic,633,Low,1,1.329,3.165,2
Metal,1120,Medium,1,2.016,5.6,5
Metal,820,High,1,1.476,4.1,5
Metal,1817,Low,1,3.271,9.085,5
Ceramic,602,Low,1,0.722,3.01,5
Metal,1770,Low,1,3.186,8.85,5
Plastic,1065,Low,1,2.236,5.325,2
Glass,1124,Low,1,1.686,5.62,6
Bioplastic,1906,Low,1,1.334,9.53,7
Metal,1251,Medium,0,2.252,6.255,5
Paper,1995,Medium,1,1.796,9.975,9
Glass,1293,Medium,1,1.94,6.465,6
Paper,625,Medium,1,0.562,3.125,9
Glass,518,Low,1,0.777,2.59,6
Paper,702,Low,1,0.632,3.51,9
Ceramic,279,Low,0,0.335,1.395,5
Glass,1091,Low,1,1.637,5.455,6
Paper,1628,Low,1,1.465,8.14,9
Bioplastic,1883,Low,0,1.318,9.415,7
Paper,657,Medium,0,0.591,3.285,9
Paper,951,Low,1,0.856,4.755,9
Glass,1857,Low,0,2.785,9.285,6
Glass,338,Medium,1,0.507,1.69,6
Paper,1308,Low,1,1.177,6.54,9
Metal,1979,High,1,3.562,9.895,5
Paper,314,Low,1,0.283,1.57,9
Metal,1161,Medium,1,2.09,5.805,5
Paper,1181,Low,1,1.063,5.905,9
Glass,1106,High,1,1.659,5.53,6
Plastic,807,Low,1,1.695,4.035,2
Metal,599,Medium,1,1.078,2.995,5
Ceramic,670,High,1,0.804,3.35,5
Glass,1634,Low,1,2.451,8.17,6
Ceramic,1776,Low,1,2.131,8.88,5
Ceramic,1586,Low,1,1.903,7.93,5
Plastic,362,High,1,0.76,1.81,2
Plastic,226,Low,0,0.475,1.13,2
Glass,618,Medium,1,0.927,3.09,6
Plastic,1017,Low,0,2.136,5.085,2
Glass,297,Medium,0,0.446,1.485,6
Plastic,1629,Low,1,3.421,8.145,2
Paper,375,Medium,1,0.338,1.875,9
Bioplastic,1440,High,0,1.008,7.2,7
Metal,341,High,1,0.614,1.705,5
Paper,771,High,1,0.694,3.855,9
Glass,607,Low,1,0.91,3.035,6
Glass,850,Medium,1,1.275,4.25,6
Ceramic,991,Low,0,1.189,4.955,5
Glass,1318,Low,1,1.977,6.59,6
Glass,212,Medium,0,0.318,1.06,6
Metal,130,Medium,1,0.234,0.65,5
Metal,1944,Low,1,3.499,9.72,5
Ceramic,1647,Low,1,1.976,8.235,5
Paper,711,High,1,0.64,3.555,9
Ceramic,724,Low,1,0.869,3.62,5
Bioplastic,1413,High,1,0.989,7.065,7
Ceramic,1053,Medium,1,1.264,5.265,5
Glass,1474,Low,0,2.211,7.37,6
Glass,1536,High,0,2.304,7.68,6
Ceramic,1088,Low,1,1.306,5.44,5
Bioplastic,996,Low,1,0.697,4.98,7
Paper,1775,Medium,1,1.597,8.875,9
Ceramic,1862,Medium,1,2.234,9.31,5
Paper,752,High,1,0.677,3.76,9
Ceramic,726,Medium,1,0.871,3.63,5
Paper,1791,Low,1,1.612,8.955,9
Glass,145,Medium,1,0.217,0.725,6
Glass,1881,Medium,1,2.821,9.405,6
Bioplastic,1665,Medium,1,1.165,8.325,7
Metal,152,High,1,0.274,0.76,5
Glass,1677,Low,0,2.515,8.385,6
Glass,769,High,1,1.153,3.845,6
Paper,1579,Low,1,1.421,7.895,9
Paper,1894,Medium,1,1.705,9.47,9
Metal,939,Low,1,1.69,4.695,5
Ceramic,1888,Medium,1,2.266,9.44,5
Metal,1271,Medium,1,2.288,6.355,5
Bioplastic,393,Low,1,0.275,1.965,7
Paper,1752,Low,1,1.577,8.76,9
Paper,1643,Low,1,1.479,8.215,9
Metal,1556,High,1,2.801,7.78,5
Paper,519,High,0,0.467,2.595,9
Bioplastic,463,Low,1,0.324,2.315,7
Ceramic,733,Medium,1,0.88,3.665,5
Glass,1632,High,1,2.448,8.16,6
Plastic,1668,High,0,3.503,8.34,2
Ceramic,232,High,0,0.278,1.16,5
Metal,1322,High,1,2.38,6.61,5
Metal,1856,Medium,1,3.341,9.28,5
Ceramic,420,Low,1,0.504,2.1,5
Glass,1056,Medium,1,1.584,5.28,6
Glass,750,Low,0,1.125,3.75,6
Glass,217,Medium,1,0.326,1.085,6
Ceramic,1984,Low,1,2.381,9.92,5
Ceramic,1078,High,1,1.294,5.39,5
Ceramic,1712,Low,1,2.054,8.56,5
Paper,1040,Low,1,0.936,5.2,9
Glass,668,Low,1,1.002,3.34,6
Ceramic,287,Low,1,0.344,1.435,5
Paper,646,Medium,1,0.581,3.23,9
Bioplastic,1980,Medium,0,1.386,9.9,7
Paper,1736,Medium,0,1.562,8.68,9
Plastic,1165,Medium,1,2.446,5.825,2
Paper,685,Low,1,0.617,3.425,9
Glass,719,Medium,1,1.079,3.595,6
Ceramic,454,Low,0,0.545,2.27,5
Plastic,502,Medium,0,1.054,2.51,2
Plastic,549,Low,1,1.153,2.745,2
Glass,535,Medium,1,0.802,2.675,6
Ceramic,258,Low,1,0.31,1.29,5
Paper,527,Low,1,0.474,2.635,9
Plastic,918,Low,0,1.928,4.59,2
Plastic,394,Low,1,0.827,1.97,2
Plastic,1912,Medium,0,4.015,9.56,2
Paper,1378,High,1,1.24,6.89,9
Bioplastic,892,High,1,0.624,4.46,7
Paper,1873,Low,1,1.686,9.365,9
Bioplastic,1745,Low,1,1.222,8.725,7
Plastic,754,Low,1,1.583,3.77,2
Glass,527,Medium,0,0.79,2.635,6
Glass,432,Medium,1,0.648,2.16,6
Ceramic,1785,Medium,1,2.142,8.925,5
Plastic,1625,Medium,0,3.413,8.125,2
Metal,620,High,1,1.116,3.1,5
Glass,1094,Medium,1,1.641,5.47,6
Plastic,1260,Medium,0,2.646,6.3,2
Metal,1770,High,1,3.186,8.85,5
Plastic,467,High,0,0.981,2.335,2
Bioplastic,154,Low,0,0.108,0.77,7
Paper,1123,High,1,1.011,5.615,9
Ceramic,1912,Low,1,2.294,9.56,5
Paper,1858,High,1,1.672,9.29,9
Metal,1803,Medium,1,3.245,9.015,5
Paper,1153,High,0,1.038,5.765,9
Plastic,1284,Medium,1,2.696,6.42,2
Ceramic,1091,High,1,1.309,5.455,5
Paper,718,Medium,1,0.646,3.59,9
Ceramic,1729,Low,1,2.075,8.645,5
Ceramic,1321,Medium,0,1.585,6.605,5
Metal,1348,High,1,2.426,6.74,5
Glass,588,High,0,0.882,2.94,6
Glass,886,Low,1,1.329,4.43,6
Paper,615,Low,1,0.553,3.075,9
Plastic,1480,Low,1,3.108,7.4,2
Bioplastic,530,Low,1,0.371,2.65,7
Metal,1045,High,1,1.881,5.225,5
Plastic,1729,Low,1,3.631,8.645,2
Ceramic,1635,High,1,1.962,8.175,5
Bioplastic,419,Medium,1,0.293,2.095,7
Glass,802,High,1,1.203,4.01,6
Paper,1095,High,1,0.986,5.475,9
Paper,1193,Medium,1,1.074,5.965,9
Paper,1850,Medium,1,1.665,9.25,9
Ceramic,893,Low,0,1.072,4.465,5
Bioplastic,502,Low,1,0.351,2.51,7
Bioplastic,990,Medium,1,0.693,4.95,7
Paper,521,High,1,0.469,2.605,9
Ceramic,871,High,0,1.045,4.355,5
Ceramic,1253,Low,0,1.504,6.265,5
Glass,1755,High,1,2.632,8.775,6
Glass,1080,Low,1,1.62,5.4,6
Ceramic,399,Medium,1,0.479,1.995,5
Bioplastic,393,Medium,1,0.275,1.965,7
Plastic,461,Low,1,0.968,2.305,2
Glass,1583,Low,1,2.374,7.915,6
Paper,1997,Low,1,1.797,9.985,9
Metal,1933,Medium,1,3.479,9.665,5
Plastic,684,High,0,1.436,3.42,2
Paper,1388,Medium,1,1.249,6.94,9
Paper,1620,Medium,1,1.458,8.1,9
Bioplastic,888,High,0,0.622,4.44,7
Plastic,1475,Low,1,3.098,7.375,2
Ceramic,330,Low,1,0.396,1.65,5
Ceramic,929,Low,1,1.115,4.645,5
Metal,1993,Low,1,3.587,9.965,5
Metal,888,Medium,1,1.598,4.44,5
Bioplastic,1567,Low,1,1.097,7.835,7
Bioplastic,1191,High,1,0.834,5.955,7
Paper,229,Low,0,0.206,1.145,9
Bioplastic,967,Low,0,0.677,4.835,7
Ceramic,497,Low,1,0.596,2.485,5
Metal,136,High,0,0.245,0.68,5
Plastic,1207,High,1,2.535,6.035,2
Glass,1428,Low,1,2.142,7.14,6
Plastic,1687,Low,1,3.543,8.435,2
Glass,865,High,1,1.298,4.325,6
Bioplastic,1813,Low,0,1.269,9.065,7
Ceramic,1636,Medium,0,1.963,8.18,5
Plastic,426,Medium,0,0.895,2.13,2
Bioplastic,1112,High,1,0.778,5.56,7
Bioplastic,371,Medium,1,0.26,1.855,7
Plastic,567,Low,1,1.191,2.835,2
Paper,979,Medium,1,0.881,4.895,9
Plastic,620,Low,0,1.302,3.1,2
Metal,1872,High,0,3.37,9.36,5
Metal,633,Low,1,1.139,3.165,5
Metal,1413,Low,1,2.543,7.065,5
Ceramic,634,Low,1,0.761,3.17,5
Paper,544,Low,0,0.49,2.72,9
Paper,1491,Low,0,1.342,7.455,9
Bioplastic,1790,Medium,1,1.253,8.95,7
Bioplastic,1727,Medium,1,1.209,8.635,7
Ceramic,710,Medium,1,0.852,3.55,5
Metal,1049,High,1,1.888,5.245,5
Paper,1976,High,1,1.778,9.88,9
Bioplastic,808,High,1,0.566,4.04,7
Glass,1588,Medium,1,2.382,7.94,6
Ceramic,1519,Low,1,1.823,7.595,5
Plastic,315,Medium,1,0.661,1.575,2
Metal,692,Low,1,1.246,3.46,5
Ceramic,895,Low,0,1.074,4.475,5
Plastic,1239,Medium,1,2.602,6.195,2
Metal,781,Low,1,1.406,3.905,5
Paper,760,Medium,1,0.684,3.8,9
Ceramic,1039,High,0,1.247,5.195,5
Metal,1540,Medium,0,2.772,7.7,5
Plastic,1063,Medium,1,2.232,5.315,2
Ceramic,1277,Low,1,1.532,6.385,5
Paper,967,Medium,0,0.87,4.835,9
Bioplastic,1366,High,1,0.956,6.83,7
Bioplastic,1879,High,1,1.315,9.395,7
Paper,853,High,1,0.768,4.265,9
Plastic,1024,Low,1,2.15,5.12,2
Glass,887,Medium,1,1.331,4.435,6
Glass,1674,High,1,2.511,8.37,6
Paper,139,Medium,1,0.125,0.695,9
Metal,1108,Medium,1,1.994,5.54,5
Glass,1057,Low,1,1.585,5.285,6
Plastic,992,High,1,2.083,4.96,2
Ceramic,319,Low,1,0.383,1.595,5
Paper,852,High,1,0.767,4.26,9
Metal,1017,Medium,1,1.831,5.085,5
Metal,1351,Low,1,2.432,6.755,5
Metal,1158,High,1,2.084,5.79,5
Plastic,324,Low,0,0.68,1.62,2
Bioplastic,259,Medium,0,0.181,1.295,7
Ceramic,1349,Medium,1,1.619,6.745,5
Glass,898,Medium,1,1.347,4.49,6
Glass,1277,Medium,1,1.915,6.385,6
Bioplastic,227,Medium,1,0.159,1.135,7
Paper,990,Low,1,0.891,4.95,9
Ceramic,1775,Low,1,2.13,8.875,5
Ceramic,154,Medium,1,0.185,0.77,5
Metal,1960,Low,1,3.528,9.8,5
Paper,1087,Medium,1,0.978,5.435,9
Plastic,554,Low,0,1.163,2.77,2
Metal,1555,Medium,1,2.799,7.775,5
Ceramic,933,High,1,1.12,4.665,5
Ceramic,1023,Medium,1,1.228,5.115,5
Ceramic,819,Low,1,0.983,4.095,5
Metal,1057,Low,1,1.903,5.285,5
Paper,1009,Low,1,0.908,5.045,9
Metal,497,Medium,1,0.895,2.485,5
Glass,1590,Low,1,2.385,7.95,6
Metal,1405,Low,1,2.529,7.025,5
Ceramic,741,Medium,1,0.889,3.705,5
Glass,125,Low,1,0.188,0.625,6
Bioplastic,690,High,1,0.483,3.45,7
Bioplastic,1395,Medium,0,0.976,6.975,7
Glass,1949,Medium,1,2.924,9.745,6
Glass,1576,Medium,1,2.364,7.88,6
Metal,171,Low,1,0.308,0.855,5
Bioplastic,1772,High,1,1.24,8.86,7
Paper,1452,High,1,1.307,7.26,9
Plastic,1961,Medium,1,4.118,9.805,2
Glass,1688,Low,1,2.532,8.44,6
Plastic,1258,Low,1,2.642,6.29,2
Bioplastic,534,Low,1,0.374,2.67,7
Metal,452,Low,0,0.814,2.26,5
Ceramic,327,Low,1,0.392,1.635,5
Metal,1603,Medium,1,2.885,8.015,5
Paper,427,Low,1,0.384,2.135,9
Glass,1536,Low,1,2.304,7.68,6
Plastic,171,Low,1,0.359,0.855,2
Bioplastic,1516,High,1,1.061,7.58,7
Plastic,596,Medium,1,1.252,2.98,2
Glass,339,Medium,1,0.508,1.695,6
Bioplastic,1761,Medium,1,1.233,8.805,7
Ceramic,241,Medium,1,0.289,1.205,5
Metal,340,Medium,1,0.612,1.7,5
Paper,1250,Medium,1,1.125,6.25,9
Plastic,720,Low,1,1.512,3.6,2
Plastic,1179,High,1,2.476,5.895,2
Metal,1653,Medium,0,2.975,8.265,5
Plastic,567,Low,1,1.191,2.835,2
Bioplastic,624,Medium,1,0.437,3.12,7
Bioplastic,841,Medium,1,0.589,4.205,7
Metal,1871,Medium,0,3.368,9.355,5
Paper,1368,Low,1,1.231,6.84,9
Paper,1596,Medium,1,1.436,7.98,9
Paper,1893,Medium,1,1.704,9.465,9
Plastic,1487,Medium,1,3.123,7.435,2
Glass,1544,Medium,1,2.316,7.72,6
Metal,1196,Low,1,2.153,5.98,5
Paper,914,Low,0,0.823,4.57,9
Plastic,1543,Low,1,3.24,7.715,2
Bioplastic,1024,High,1,0.717,5.12,7
Metal,1500,Medium,1,2.7,7.5,5
Ceramic,748,Medium,1,0.898,3.74,5
Plastic,699,Medium,1,1.468,3.495,2
Paper,781,Low,1,0.703,3.905,9
Glass,1442,High,1,2.163,7.21,6
Metal,248,Low,1,0.446,1.24,5
Paper,500,Low,1,0.45,2.5,9
Glass,1305,Medium,1,1.958,6.525,6
Plastic,956,High,0,2.008,4.78,2
Ceramic,1095,Low,1,1.314,5.475,5
Plastic,523,High,1,1.098,2.615,2
Plastic,925,Medium,0,1.942,4.625,2
Bioplastic,1137,Medium,1,0.796,5.685,7
Ceramic,903,High,1,1.084,4.515,5
Ceramic,1870,High,0,2.244,9.35,5
Metal,1687,Low,0,3.037,8.435,5
Glass,842,Medium,0,1.263,4.21,6
Glass,1215,Low,1,1.823,6.075,6
Metal,784,High,1,1.411,3.92,5
Bioplastic,324,High,1,0.227,1.62,7
Paper,890,High,0,0.801,4.45,9
Paper,905,Low,1,0.815,4.525,9
Plastic,612,Medium,1,1.285,3.06,2
Paper,724,Low,1,0.652,3.62,9
Plastic,626,High,1,1.315,3.13,2
Paper,172,Low,1,0.155,0.86,9
Plastic,479,Low,1,1.006,2.395,2
Metal,632,Low,1,1.138,3.16,5
Metal,361,Medium,1,0.65,1.805,5
Bioplastic,994,Medium,1,0.696,4.97,7
Glass,607,Medium,1,0.91,3.035,6
Ceramic,1369,High,1,1.643,6.845,5
Paper,1233,High,0,1.11,6.165,9
Plastic,1370,Low,1,2.877,6.85,2
Glass,1635,Low,0,2.453,8.175,6
Glass,1344,Low,1,2.016,6.72,6
Paper,1720,High,0,1.548,8.6,9
Paper,642,Low,1,0.578,3.21,9
Glass,1760,Low,1,2.64,8.8,6
Paper,371,High,1,0.334,1.855,9
Paper,595,Medium,1,0.535,2.975,9
Metal,642,High,1,1.156,3.21,5
Ceramic,744,Medium,1,0.893,3.72,5
Metal,535,Medium,0,0.963,2.675,5
Paper,220,Medium,1,0.198,1.1,9
Metal,1985,High,1,3.573,9.925,5
Ceramic,502,Low,0,0.602,2.51,5
Ceramic,1962,Medium,1,2.354,9.81,5
Glass,755,Low,1,1.133,3.775,6
Paper,329,Medium,1,0.296,1.645,9
Glass,750,Low,1,1.125,3.75,6
Glass,1296,Low,1,1.944,6.48,6
Metal,857,Medium,1,1.543,4.285,5
Glass,1856,High,0,2.784,9.28,6
Glass,791,Low,1,1.187,3.955,6
Paper,1136,Medium,1,1.022,5.68,9
Plastic,234,High,1,0.491,1.17,2
Metal,1029,Medium,0,1.852,5.145,5
Glass,409,Medium,1,0.614,2.045,6
Paper,824,High,1,0.742,4.12,9
Metal,1704,Medium,1,3.067,8.52,5
Glass,476,Low,1,0.714,2.38,6
Plastic,534,Medium,1,1.121,2.67,2
Ceramic,427,Medium,1,0.512,2.135,5
Plastic,343,High,0,0.72,1.715,2
Glass,416,Medium,1,0.624,2.08,6
Glass,405,Low,0,0.608,2.025,6
Ceramic,1780,Medium,1,2.136,8.9,5
Metal,623,Medium,1,1.121,3.115,5
Glass,1546,High,1,2.319,7.73,6
Plastic,1280,High,1,2.688,6.4,2
Paper,1451,Low,1,1.306,7.255,9
Glass,1444,Medium,1,2.166,7.22,6
Glass,1498,Medium,0,2.247,7.49,6
Metal,1135,Low,1,2.043,5.675,5
Metal,416,Medium,0,0.749,2.08,5
Metal,848,High,1,1.526,4.24,5
Plastic,1002,Low,1,2.104,5.01,2
Bioplastic,1876,Medium,1,1.313,9.38,7
Paper,1898,Medium,0,1.708,9.49,9
Bioplastic,1310,Medium,1,0.917,6.55,7
Plastic,575,Low,1,1.208,2.875,2
Metal,1903,Low,1,3.425,9.515,5
Metal,1344,Medium,1,2.419,6.72,5
Glass,314,Low,0,0.471,1.57,6
Plastic,1733,Medium,1,3.639,8.665,2
Glass,820,Low,0,1.23,4.1,6
Glass,593,Medium,1,0.889,2.965,6
Ceramic,1779,Medium,1,2.135,8.895,5
Metal,1785,Medium,1,3.213,8.925,5
Glass,1496,High,1,2.244,7.48,6
Ceramic,1075,Low,0,1.29,5.375,5
Paper,1265,Low,1,1.139,6.325,9
Plastic,697,Medium,1,1.464,3.485,2
Metal,1434,Medium,1,2.581,7.17,5
Bioplastic,1087,Low,1,0.761,5.435,7
Plastic,1331,High,1,2.795,6.655,2
Metal,1494,High,1,2.689,7.47,5
Ceramic,178,Low,1,0.214,0.89,5
Ceramic,1539,Medium,1,1.847,7.695,5
Plastic,1501,High,1,3.152,7.505,2
Bioplastic,769,Low,1,0.538,3.845,7
Bioplastic,1256,Low,1,0.879,6.28,7
Glass,1177,Low,1,1.766,5.885,6
Metal,532,Low,1,0.958,2.66,5
Metal,1802,Low,1,3.244,9.01,5
Glass,1607,Medium,1,2.41,8.035,6
Paper,1926,Low,0,1.733,9.63,9
Plastic,1917,Medium,1,4.026,9.585,2
Metal,1810,Medium,1,3.258,9.05,5
Glass,1601,Medium,1,2.401,8.005,6
Paper,1266,Low,1,1.139,6.33,9
Metal,1799,Medium,0,3.238,8.995,5
Paper,1967,Low,1,1.77,9.835,9
Glass,530,Low,1,0.795,2.65,6
Ceramic,599,High,1,0.719,2.995,5
Ceramic,456,High,1,0.547,2.28,5
Paper,109,Medium,1,0.098,0.545,9
Plastic,1002,Low,1,2.104,5.01,2
Plastic,1936,Low,1,4.066,9.68,2
Metal,1359,Low,0,2.446,6.795,5
Bioplastic,1983,Medium,1,1.388,9.915,7
Ceramic,1909,Low,1,2.291,9.545,5
Metal,1975,Medium,0,3.555,9.875,5
Ceramic,1373,Low,1,1.648,6.865,5
Metal,688,Low,0,1.238,3.44,5
Ceramic,1393,Low,1,1.672,6.965,5
Paper,935,High,1,0.842,4.675,9
Bioplastic,973,Medium,1,0.681,4.865,7
Ceramic,1437,Medium,1,1.724,7.185,5
Paper,1167,Medium,0,1.05,5.835,9
Ceramic,561,Medium,1,0.673,2.805,5
Metal,1841,High,0,3.314,9.205,5
Glass,537,Medium,1,0.805,2.685,6
Ceramic,1330,Medium,1,1.596,6.65,5
Plastic,810,Medium,0,1.701,4.05,2
Bioplastic,126,Low,1,0.088,0.63,7
Bioplastic,888,High,1,0.622,4.44,7
Paper,1954,Low,1,1.759,9.77,9
Plastic,561,Low,1,1.178,2.805,2
Bioplastic,1311,Low,1,0.918,6.555,7
Plastic,1352,Low,1,2.839,6.76,2
Bioplastic,937,High,1,0.656,4.685,7
Metal,795,Medium,1,1.431,3.975,5
Plastic,870,Low,1,1.827,4.35,2
Ceramic,1997,Medium,0,2.396,9.985,5
Metal,1916,Medium,1,3.449,9.58,5
Ceramic,1055,Medium,1,1.266,5.275,5
Glass,709,Low,1,1.063,3.545,6
Ceramic,804,High,1,0.965,4.02,5
Paper,747,Low,1,0.672,3.735,9
Bioplastic,128,Low,1,0.09,0.64,7
Paper,735,Low,1,0.661,3.675,9
Bioplastic,1310,Medium,1,0.917,6.55,7
Metal,1971,Medium,1,3.548,9.855,5
Ceramic,176,Medium,0,0.211,0.88,5
Metal,1672,Medium,1,3.01,8.36,5
Paper,1328,Low,0,1.195,6.64,9
Plastic,132,Low,0,0.277,0.66,2
Metal,1910,Medium,1,3.438,9.55,5
Plastic,155,Medium,1,0.326,0.775,2
Metal,1897,Medium,1,3.415,9.485,5
Glass,1247,High,1,1.871,6.235,6
Metal,785,High,0,1.413,3.925,5
Paper,1625,Low,1,1.462,8.125,9
Bioplastic,833,Medium,1,0.583,4.165,7
Bioplastic,1978,Medium,1,1.385,9.89,7
Bioplastic,1296,High,1,0.907,6.48,7
Bioplastic,624,Medium,1,0.437,3.12,7
Ceramic,585,Low,1,0.702,2.925,5
Bioplastic,1264,Medium,1,0.885,6.32,7
Ceramic,1501,Medium,1,1.801,7.505,5
Ceramic,801,Medium,0,0.961,4.005,5
Metal,1634,Low,0,2.941,8.17,5
Ceramic,1619,Low,1,1.943,8.095,5
Ceramic,1230,Medium,1,1.476,6.15,5
Plastic,815,Low,1,1.712,4.075,2
Plastic,1692,Low,1,3.553,8.46,2
Bioplastic,831,Medium,1,0.582,4.155,7
Bioplastic,530,High,1,0.371,2.65,7
Paper,1457,Medium,1,1.311,7.285,9
Metal,671,Low,1,1.208,3.355,5
Ceramic,1720,Medium,0,2.064,8.6,5
Metal,963,Low,1,1.733,4.815,5
Ceramic,1148,Low,1,1.378,5.74,5
Plastic,1002,Low,1,2.104,5.01,2
Plastic,1734,Low,0,3.641,8.67,2
Ceramic,261,Low,1,0.313,1.305,5
Bioplastic,1885,Low,1,1.319,9.425,7
Ceramic,1543,Low,1,1.852,7.715,5
Ceramic,1825,Low,1,2.19,9.125,5
Bioplastic,855,Low,1,0.599,4.275,7
Plastic,1603,Medium,1,3.366,8.015,2
Metal,1645,Low,1,2.961,8.225,5
Bioplastic,196,Low,0,0.137,0.98,7
Paper,1850,Low,0,1.665,9.25,9
Glass,689,High,1,1.034,3.445,6
Glass,1951,Medium,1,2.926,9.755,6
Bioplastic,705,Low,1,0.493,3.525,7
Metal,1739,High,1,3.13,8.695,5
Bioplastic,1915,Medium,1,1.341,9.575,7
Glass,596,Medium,1,0.894,2.98,6
Plastic,1006,High,1,2.113,5.03,2
Metal,1835,High,0,3.303,9.175,5
Ceramic,349,Low,0,0.419,1.745,5
Plastic,1069,Medium,1,2.245,5.345,2
Ceramic,1110,Low,1,1.332,5.55,5
Metal,903,Low,1,1.625,4.515,5
Paper,1922,Low,0,1.73,9.61,9
Ceramic,1997,Low,0,2.396,9.985,5
Plastic,1847,Medium,1,3.879,9.235,2
Bioplastic,334,Medium,1,0.234,1.67,7
Bioplastic,1752,Medium,1,1.226,8.76,7
Plastic,630,High,1,1.323,3.15,2
Paper,143,Medium,1,0.129,0.715,9
Plastic,1550,High,1,3.255,7.75,2
Plastic,1447,Low,1,3.039,7.235,2
Metal,549,Medium,1,0.988,2.745,5
Metal,574,Low,0,1.033,2.87,5
Paper,173,Low,1,0.156,0.865,9
Ceramic,903,Low,1,1.084,4.515,5
Plastic,1871,High,1,3.929,9.355,2
Bioplastic,1258,Medium,1,0.881,6.29,7
Paper,507,Medium,1,0.456,2.535,9
Plastic,1058,Low,0,2.222,5.29,2
Metal,828,Medium,1,1.49,4.14,5
Metal,146,High,1,0.263,0.73,5
Paper,880,Medium,1,0.792,4.4,9
Paper,1295,High,1,1.165,6.475,9
Plastic,819,Medium,1,1.72,4.095,2
Plastic,450,High,1,0.945,2.25,2
Bioplastic,633,Medium,1,0.443,3.165,7
Bioplastic,829,Low,1,0.58,4.145,7
Plastic,662,Medium,1,1.39,3.31,2
Glass,522,Medium,1,0.783,2.61,6
Plastic,1986,Low,0,4.171,9.93,2
Plastic,1795,Medium,1,3.769,8.975,2
Paper,1203,High,1,1.083,6.015,9
Paper,1903,Low,1,1.713,9.515,9
Bioplastic,1524,Medium,1,1.067,7.62,7
Bioplastic,133,Low,0,0.093,0.665,7
Plastic,512,Medium,1,1.075,2.56,2
Glass,741,High,1,1.111,3.705,6
Glass,342,Medium,1,0.513,1.71,6
Paper,1297,High,1,1.167,6.485,9
Paper,1607,Medium,1,1.446,8.035,9
Paper,1352,Medium,1,1.217,6.76,9
Ceramic,593,High,1,0.712,2.965,5
Metal,1286,Low,1,2.315,6.43,5
Ceramic,1651,Low,1,1.981,8.255,5
Ceramic,1248,High,1,1.498,6.24,5
Metal,555,High,0,0.999,2.775,5
Paper,1277,Low,1,1.149,6.385,9
Ceramic,1008,Medium,1,1.21,5.04,5
Glass,988,Low,0,1.482,4.94,6
Plastic,1990,Low,1,4.179,9.95,2
Ceramic,302,High,1,0.362,1.51,5
Paper,467,Medium,1,0.42,2.335,9
Ceramic,1872,Low,1,2.246,9.36,5
Paper,535,High,1,0.481,2.675,9
Paper,1828,High,1,1.645,9.14,9
Metal,1908,Medium,1,3.434,9.54,5
Paper,752,Low,0,0.677,3.76,9
Metal,1817,High,1,3.271,9.085,5
Bioplastic,921,Low,1,0.645,4.605,7
Bioplastic,1688,Medium,0,1.182,8.44,7
Ceramic,1212,Low,0,1.454,6.06,5
Metal,1240,Medium,1,2.232,6.2,5
Plastic,1896,Low,1,3.982,9.48,2
Ceramic,1836,Low,1,2.203,9.18,5
Glass,1965,Low,1,2.947,9.825,6
Bioplastic,556,Low,1,0.389,2.78,7
Metal,1330,Low,1,2.394,6.65,5
Glass,1038,Low,1,1.557,5.19,6
Glass,685,High,1,1.028,3.425,6
Ceramic,854,High,1,1.025,4.27,5
Metal,1539,Low,1,2.77,7.695,5
Paper,444,High,1,0.4,2.22,9
Paper,121,Medium,1,0.109,0.605,9
Bioplastic,1043,Medium,1,0.73,5.215,7
Bioplastic,410,High,1,0.287,2.05,7
Ceramic,1154,Low,1,1.385,5.77,5
Metal,424,Medium,0,0.763,2.12,5
Ceramic,1506,High,1,1.807,7.53,5
Plastic,1430,Medium,1,3.003,7.15,2
Bioplastic,1201,Low,1,0.841,6.005,7
Glass,751,High,0,1.127,3.755,6
Glass,146,Medium,1,0.219,0.73,6
Glass,1214,Low,1,1.821,6.07,6
Plastic,1114,Medium,1,2.339,5.57,2
Plastic,1938,Low,0,4.07,9.69,2
Glass,264,Medium,1,0.396,1.32,6
Paper,1248,Medium,1,1.123,6.24,9
Bioplastic,1346,Medium,1,0.942,6.73,7
Metal,330,Medium,0,0.594,1.65,5
Glass,1020,High,1,1.53,5.1,6
Bioplastic,1006,Low,0,0.704,5.03,7
Paper,1860,Low,1,1.674,9.3,9
Glass,174,Medium,1,0.261,0.87,6
Paper,426,High,1,0.383,2.13,9
Plastic,1010,Low,1,2.121,5.05,2
Metal,1134,Low,1,2.041,5.67,5
Ceramic,1598,Medium,1,1.918,7.99,5
Bioplastic,295,High,1,0.206,1.475,7
Plastic,154,Low,0,0.323,0.77,2
Glass,534,Low,1,0.801,2.67,6
