material,weight_capacity,fragility,recyclability,co2_score,strength,biodegradability,co2_impact_index,eco_score
Plastic,363,Low,1,0.762,1.815,2,0.0020991735537190083,2.238
Paper,1940,Medium,1,1.746,9.7,9,0.0009,8.254
Metal,720,Low,1,1.296,3.6,5,0.0018,4.704
Ceramic,545,Low,1,0.654,2.725,5,0.0012000000000000001,5.346
Plastic,939,Medium,1,1.972,4.695,2,0.00210010649627263,1.028
Paper,379,Low,0,0.341,1.895,9,0.000899736147757256,8.659
Plastic,1973,Medium,1,4.143,9.865,2,0.0020998479472883933,-1.1429999999999998
Plastic,1045,Medium,1,2.195,5.225,2,0.0021004784688995214,0.8050000000000002
Ceramic,333,High,1,0.4,1.665,5,0.0012012012012012014,5.6
Plastic,1071,Low,1,2.249,5.355,2,0.002099906629318394,0.7509999999999999
Plastic,939,Low,1,1.972,4.695,2,0.00210010649627263,1.028
Paper,793,Medium,1,0.714,3.965,9,0.0009003783102143757,9.286
Metal,1541,Low,1,2.774,7.705,5,0.001800129785853342,3.226
Metal,224,High,0,0.403,1.12,5,0.0017991071428571429,4.5969999999999995
Bioplastic,354,Low,1,0.248,1.77,7,0.0007005649717514124,7.752
Plastic,1763,Low,1,3.702,8.815,2,0.0020998298355076575,-0.702
Bioplastic,1231,Low,0,0.862,6.155,7,0.0007002437043054428,6.138
Plastic,222,Low,1,0.466,1.11,2,0.0020990990990990993,2.534
Metal,1778,Medium,1,3.2,8.89,5,0.001799775028121485,2.8
Ceramic,1399,High,1,1.679,6.995,5,0.0012001429592566118,4.321
Glass,1609,Medium,0,2.413,8.045,6,0.0014996892479801117,3.587
Metal,1536,Low,1,2.765,7.68,5,0.0018001302083333335,3.235
Ceramic,465,Medium,1,0.558,2.325,5,0.0012000000000000001,5.442
Metal,1160,Low,1,2.088,5.8,5,0.0018000000000000002,3.912
Ceramic,1911,Low,1,2.293,9.555,5,0.0011998953427524858,3.707
Metal,303,High,1,0.545,1.515,5,0.0017986798679867988,5.455
Bioplastic,1737,Low,1,1.216,8.685,7,0.0007000575705238917,6.784
Ceramic,898,Medium,0,1.078,4.49,5,0.001200445434298441,3.9219999999999997
Paper,221,Low,1,0.199,1.105,9,0.0009004524886877829,9.801
Ceramic,419,Low,1,0.503,2.095,5,0.0012004773269689737,5.497
Plastic,264,Medium,1,0.554,1.32,2,0.0020984848484848486,2.4459999999999997
Plastic,979,Low,1,2.056,4.895,2,0.002100102145045965,0.944
Plastic,379,Medium,1,0.796,1.895,2,0.002100263852242744,2.2039999999999997
Plastic,964,High,1,2.024,4.82,2,0.0020995850622406637,0.976
Paper,1950,High,1,1.755,9.75,9,0.0009,8.245000000000001
Bioplastic,1299,Low,1,0.909,6.495,7,0.0006997690531177829,7.091
Plastic,1931,Medium,1,4.055,9.655,2,0.0020999482133609525,-1.0549999999999997
Paper,716,Low,1,0.644,3.58,9,0.000899441340782123,9.356
Bioplastic,1570,High,0,1.099,7.85,7,0.0007,5.901
Metal,903,Low,1,1.625,4.515,5,0.0017995570321151717,4.375
Metal,1212,Medium,1,2.182,6.06,5,0.0018003300330033003,3.818
Metal,1622,Low,1,2.92,8.11,5,0.0018002466091245376,3.08
Metal,146,Medium,0,0.263,0.73,5,0.0018013698630136986,4.737
Bioplastic,1337,Medium,0,0.936,6.685,7,0.000700074794315632,6.064
Bioplastic,1829,Low,1,1.28,9.145,7,0.0006998359759431384,6.72
Bioplastic,628,Medium,1,0.44,3.14,7,0.0007006369426751592,7.56
Glass,1680,Low,1,2.52,8.4,6,0.0015,4.48
Metal,1493,Low,1,2.687,7.465,5,0.001799732083054253,3.313
Plastic,386,High,1,0.811,1.93,2,0.0021010362694300518,2.189
Ceramic,1958,Medium,0,2.35,9.79,5,0.0012002042900919306,2.65
Plastic,284,Low,0,0.596,1.42,2,0.0020985915492957746,1.404
Bioplastic,175,Low,0,0.122,0.875,7,0.0006971428571428571,6.878
Metal,1172,Low,1,2.11,5.86,5,0.0018003412969283276,3.89
Glass,1976,Medium,1,2.964,9.88,6,0.0015,4.036
Metal,1024,Medium,1,1.843,5.12,5,0.0017998046875,4.157
Metal,1268,Medium,1,2.282,6.34,5,0.0017996845425867509,3.718
Glass,588,High,1,0.882,2.94,6,0.0015,6.118
Plastic,1111,Medium,1,2.333,5.555,2,0.0020999099909991,0.6669999999999998
Glass,1339,Medium,1,2.009,6.695,6,0.0015003734129947722,4.991
Plastic,1264,Medium,1,2.654,6.32,2,0.0020996835443037975,0.3460000000000001
Metal,1411,High,0,2.54,7.055,5,0.0018001417434443656,2.46
Ceramic,1450,Medium,1,1.74,7.25,5,0.0012,4.26
Plastic,766,Medium,0,1.609,3.83,2,0.002100522193211488,0.391
Ceramic,1465,Medium,0,1.758,7.325,5,0.0012000000000000001,3.242
Paper,1903,Low,0,1.713,9.515,9,0.0009001576458223858,7.287
Metal,283,Medium,1,0.509,1.415,5,0.0017985865724381626,5.491
Ceramic,1559,Medium,1,1.871,7.795,5,0.0012001282873636946,4.129
Glass,1023,Medium,0,1.534,5.115,6,0.0014995112414467253,4.466
Paper,1234,Low,1,1.111,6.17,9,0.0009003241491085899,8.889
Metal,1187,Medium,1,2.137,5.935,5,0.0018003369839932604,3.863
Metal,1024,Low,1,1.843,5.12,5,0.0017998046875,4.157
Glass,181,High,1,0.272,0.905,6,0.0015027624309392267,6.728
Bioplastic,697,Medium,1,0.488,3.485,7,0.0007001434720229555,7.5120000000000005
Ceramic,1785,High,1,2.142,8.925,5,0.0012,3.858
Plastic,163,Low,1,0.342,0.815,2,0.002098159509202454,2.658
Metal,242,Medium,1,0.436,1.21,5,0.0018016528925619835,5.564
Ceramic,1090,Low,1,1.308,5.45,5,0.0012000000000000001,4.692
Plastic,1637,Low,1,3.438,8.185,2,0.0021001832620647525,-0.43800000000000017
Paper,1544,Low,1,1.39,7.72,9,0.0009002590673575128,8.61
Ceramic,845,Low,1,1.014,4.225,5,0.0012000000000000001,4.986
Plastic,391,Low,1,0.821,1.955,2,0.0020997442455242964,2.1790000000000003
Glass,194,Medium,1,0.291,0.97,6,0.0014999999999999998,6.709
Glass,1892,Low,1,2.838,9.46,6,0.0015,4.162
Ceramic,103,Low,1,0.124,0.515,5,0.001203883495145631,5.876
Glass,1194,Low,1,1.791,5.97,6,0.0015,5.209
Paper,699,High,0,0.629,3.495,9,0.0008998569384835479,8.371
Plastic,749,Low,0,1.573,3.745,2,0.0021001335113484646,0.42700000000000005
Plastic,1632,Low,1,3.427,8.16,2,0.0020998774509803923,-0.42700000000000005
Glass,1277,Medium,1,1.915,6.385,6,0.001499608457321848,5.085
Plastic,313,High,1,0.657,1.565,2,0.002099041533546326,2.343
Metal,207,Medium,1,0.373,1.035,5,0.0018019323671497585,5.627
Paper,1150,Low,1,1.035,5.75,9,0.0009,8.965
Ceramic,359,High,1,0.431,1.795,5,0.001200557103064067,5.569
Bioplastic,1030,Low,1,0.721,5.15,7,0.0007,7.279
Glass,666,Low,1,0.999,3.33,6,0.0015,6.001
Glass,1329,Low,1,1.994,6.645,6,0.0015003762227238525,5.006
Bioplastic,979,High,1,0.685,4.895,7,0.0006996935648621043,7.3149999999999995
Plastic,1881,High,1,3.95,9.405,2,0.002099946836788942,-0.9500000000000002
Bioplastic,911,Low,1,0.638,4.555,7,0.0007003293084522503,7.362
Glass,1803,High,0,2.704,9.015,6,0.0014997226844148642,3.296
Bioplastic,1515,Low,1,1.06,7.575,7,0.0006996699669966997,6.9399999999999995
Plastic,1850,High,1,3.885,9.25,2,0.0021,-0.8849999999999998
Paper,1503,Low,1,1.353,7.515,9,0.0009001996007984032,8.647
Paper,1113,Low,1,1.002,5.565,9,0.0009002695417789757,8.998
Glass,1425,Medium,1,2.138,7.125,6,0.0015003508771929824,4.862
Metal,1881,Low,0,3.386,9.405,5,0.001800106326422116,1.6139999999999999
Ceramic,1119,Medium,1,1.343,5.595,5,0.0012001787310098302,4.657
Glass,548,Medium,1,0.822,2.74,6,0.0014999999999999998,6.178
Glass,1257,Low,0,1.885,6.285,6,0.0014996022275258552,4.115
Metal,1626,High,1,2.927,8.13,5,0.0018001230012300122,3.073
Paper,140,Low,1,0.126,0.7,9,0.0009,9.874
Metal,979,Medium,0,1.762,4.895,5,0.0017997957099080695,3.238
Bioplastic,1442,Medium,1,1.009,7.21,7,0.0006997226074895977,6.991
Glass,1481,Low,1,2.221,7.405,6,0.00149966239027684,4.779
Paper,1527,Low,1,1.374,7.635,9,0.0008998035363457761,8.626
Glass,139,Low,1,0.208,0.695,6,0.0014964028776978417,6.792
Glass,1985,Low,1,2.978,9.925,6,0.001500251889168766,4.022
Glass,190,Medium,1,0.285,0.95,6,0.0014999999999999998,6.715
Plastic,916,Medium,1,1.924,4.58,2,0.0021004366812227074,1.076
Paper,446,High,1,0.401,2.23,9,0.0008991031390134529,9.599
Glass,293,Medium,1,0.44,1.465,6,0.0015017064846416382,6.56
Bioplastic,1561,Medium,1,1.093,7.805,7,0.0007001921844971172,6.907
Metal,769,Low,1,1.384,3.845,5,0.0017997399219765928,4.616
Bioplastic,404,Low,0,0.283,2.02,7,0.0007004950495049505,6.717
Bioplastic,1917,Low,0,1.342,9.585,7,0.0007000521648408973,5.6579999999999995
Plastic,1738,Low,0,3.65,8.69,2,0.002100115074798619,-1.65
Ceramic,1206,Low,0,1.447,6.03,5,0.0011998341625207298,3.553
Ceramic,735,Low,1,0.882,3.675,5,0.0012000000000000001,5.118
Glass,1416,Medium,1,2.124,7.08,6,0.0015,4.8759999999999994
Bioplastic,1741,High,1,1.219,8.705,7,0.0007001723147616312,6.781
Plastic,419,Low,1,0.88,2.095,2,0.002100238663484487,2.12
Ceramic,904,High,1,1.085,4.52,5,0.001200221238938053,4.915
Plastic,719,Medium,1,1.51,3.595,2,0.0021001390820584143,1.49
Paper,1239,Low,0,1.115,6.195,9,0.0008999192897497983,7.885
Paper,1403,High,1,1.263,7.015,9,0.0009002138275124732,8.737
Bioplastic,1072,Medium,1,0.75,5.36,7,0.0006996268656716418,7.25
Ceramic,1813,High,1,2.176,9.065,5,0.0012002206287920574,3.824
Plastic,1782,Medium,1,3.742,8.91,2,0.002099887766554433,-0.742
Glass,1339,Medium,1,2.009,6.695,6,0.0015003734129947722,4.991
Plastic,478,High,0,1.004,2.39,2,0.002100418410041841,0.996
Glass,1979,Low,1,2.969,9.895,6,0.0015002526528549772,4.031000000000001
Glass,505,Medium,1,0.757,2.525,6,0.001499009900990099,6.243
Metal,1600,Medium,1,2.88,8.0,5,0.0018,3.12
Bioplastic,273,High,1,0.191,1.365,7,0.0006996336996336997,7.809
Plastic,923,Medium,1,1.938,4.615,2,0.0020996749729144094,1.062
Metal,1800,Medium,1,3.24,9.0,5,0.0018000000000000002,2.76
Glass,1375,High,1,2.062,6.875,6,0.0014996363636363636,4.938000000000001
Paper,428,Medium,1,0.385,2.14,9,0.0008995327102803739,9.615
Metal,299,Medium,1,0.538,1.495,5,0.00179933110367893,5.462
Glass,852,Low,1,1.278,4.26,6,0.0015,5.7219999999999995
Paper,366,Low,1,0.329,1.83,9,0.0008989071038251366,9.671
Bioplastic,659,High,0,0.461,3.295,7,0.0006995447647951442,6.539
Metal,656,Medium,1,1.181,3.28,5,0.0018003048780487806,4.819
Plastic,111,Low,0,0.233,0.555,2,0.0020990990990990993,1.767
Metal,1906,Low,1,3.431,9.53,5,0.0018001049317943336,2.569
Plastic,1413,Medium,0,2.967,7.065,2,0.002099787685774947,-0.9670000000000001
Ceramic,922,Low,1,1.106,4.61,5,0.0011995661605206074,4.894
Bioplastic,1353,High,1,0.947,6.765,7,0.0006999260901699926,7.053
Ceramic,504,Low,1,0.605,2.52,5,0.0012003968253968254,5.395
Metal,823,Low,1,1.481,4.115,5,0.00179951397326853,4.519
Ceramic,1647,High,1,1.976,8.235,5,0.0011997571341833637,4.024
Ceramic,513,Medium,1,0.616,2.565,5,0.0012007797270955165,5.384
Plastic,1028,Medium,1,2.159,5.14,2,0.0021001945525291827,0.8410000000000002
Bioplastic,771,Low,1,0.54,3.855,7,0.0007003891050583658,7.46
Ceramic,1923,Low,1,2.308,9.615,5,0.0012002080083203326,3.692
Glass,835,Low,1,1.252,4.175,6,0.0014994011976047904,5.748
Paper,1837,High,1,1.653,9.185,9,0.0008998366902558519,8.347
Metal,1452,Low,1,2.614,7.26,5,0.0018002754820936639,3.386
Metal,1803,Medium,1,3.245,9.015,5,0.0017997781475318914,2.755
Glass,943,Low,1,1.415,4.715,6,0.0015005302226935313,5.585
Paper,506,Low,0,0.455,2.53,9,0.0008992094861660079,8.545
Bioplastic,321,Medium,1,0.225,1.605,7,0.0007009345794392524,7.775
Ceramic,1698,Low,0,2.038,8.49,5,0.0012002355712603062,2.962
Metal,1945,Medium,1,3.501,9.725,5,0.0018,2.499
Metal,454,Low,1,0.817,2.27,5,0.0017995594713656386,5.183
Metal,508,Medium,1,0.914,2.54,5,0.0017992125984251969,5.086
Plastic,1899,Medium,1,3.988,9.495,2,0.0021000526592943655,-0.988
Bioplastic,181,High,1,0.127,0.905,7,0.000701657458563536,7.873
Ceramic,161,Low,1,0.193,0.805,5,0.0011987577639751552,5.807
Bioplastic,614,High,1,0.43,3.07,7,0.0007003257328990228,7.57
Paper,1660,High,1,1.494,8.3,9,0.0009,8.506
Glass,1794,Medium,1,2.691,8.97,6,0.0014999999999999998,4.309
Ceramic,1890,Low,1,2.268,9.45,5,0.0012,3.732
Bioplastic,681,Low,1,0.477,3.405,7,0.0007004405286343612,7.523
Ceramic,647,Medium,0,0.776,3.235,5,0.0011993817619783617,4.224
Bioplastic,1646,Low,1,1.152,8.23,7,0.0006998784933171324,6.848
Plastic,757,Low,1,1.59,3.785,2,0.0021003963011889037,1.41
Plastic,1520,Medium,0,3.192,7.6,2,0.0021000000000000003,-1.1920000000000002
Metal,1876,Low,1,3.377,9.38,5,0.0018001066098081021,2.623
Plastic,404,Medium,1,0.848,2.02,2,0.002099009900990099,2.152
Paper,573,Medium,1,0.516,2.865,9,0.0009005235602094241,9.484
Ceramic,888,Medium,1,1.066,4.44,5,0.0012004504504504504,4.934
Plastic,761,Medium,1,1.598,3.805,2,0.002099868593955322,1.402
Paper,362,Medium,1,0.326,1.81,9,0.0009005524861878453,9.674
Metal,1557,Low,1,2.803,7.785,5,0.001800256904303147,3.197
Metal,148,Low,1,0.266,0.74,5,0.0017972972972972975,5.734
Glass,189,Low,1,0.283,0.945,6,0.0014973544973544972,6.717
Ceramic,1160,Low,0,1.392,5.8,5,0.0012,3.608
Paper,1453,Medium,1,1.308,7.265,9,0.0009002064693737096,8.692
Paper,1919,Medium,1,1.727,9.595,9,0.0008999478895257947,8.273
Ceramic,723,Low,0,0.868,3.615,5,0.0012005532503457815,4.132
Glass,537,High,1,0.805,2.685,6,0.0014990689013035382,6.195
Glass,706,Low,1,1.059,3.53,6,0.0014999999999999998,5.941
Ceramic,473,Medium,1,0.568,2.365,5,0.001200845665961945,5.432
Metal,214,Medium,0,0.385,1.07,5,0.0017990654205607478,4.615
Glass,991,Low,1,1.486,4.955,6,0.0014994954591321897,5.514
Metal,806,Low,1,1.451,4.03,5,0.0018002481389578166,4.5489999999999995
Metal,1736,Low,1,3.125,8.68,5,0.001800115207373272,2.875
Paper,873,Medium,1,0.786,4.365,9,0.0009003436426116839,9.214
Paper,968,Low,1,0.871,4.84,9,0.0008997933884297521,9.129
Metal,561,Medium,1,1.01,2.805,5,0.0018003565062388591,4.99
Glass,1208,High,1,1.812,6.04,6,0.0015,5.188
Glass,1393,Medium,1,2.09,6.965,6,0.001500358937544867,4.91
Metal,503,Low,1,0.905,2.515,5,0.0017992047713717694,5.095
Bioplastic,1404,Low,1,0.983,7.02,7,0.0007001424501424502,7.017
Metal,1232,Medium,1,2.218,6.16,5,0.0018003246753246754,3.782
Glass,803,Low,1,1.204,4.015,6,0.0014993773349937733,5.796
Ceramic,1822,Medium,1,2.186,9.11,5,0.001199780461031833,3.814
Bioplastic,951,Low,1,0.666,4.755,7,0.0007003154574132493,7.334
Bioplastic,1237,High,1,0.866,6.185,7,0.0007000808407437348,7.134
Plastic,1312,Medium,1,2.755,6.56,2,0.00209984756097561,0.2450000000000001
Ceramic,711,Low,1,0.853,3.555,5,0.00119971870604782,5.147
Ceramic,1647,Medium,1,1.976,8.235,5,0.0011997571341833637,4.024
Metal,1564,Low,0,2.815,7.82,5,0.0017998721227621482,2.185
Plastic,123,Medium,1,0.258,0.615,2,0.0020975609756097562,2.742
Paper,1393,Low,1,1.254,6.965,9,0.0009002153625269203,8.746
Plastic,348,Medium,1,0.731,1.74,2,0.002100574712643678,2.269
Paper,1731,Low,0,1.558,8.655,9,0.0009000577700751011,7.442
Paper,474,Medium,1,0.427,2.37,9,0.0009008438818565401,9.573
Ceramic,294,Low,1,0.353,1.47,5,0.0012006802721088435,5.647
Plastic,1250,Low,1,2.625,6.25,2,0.0021,0.375
Glass,292,High,1,0.438,1.46,6,0.0015,6.562
Metal,269,High,1,0.484,1.345,5,0.0017992565055762082,5.516
Glass,300,Low,1,0.45,1.5,6,0.0015,6.55
Bioplastic,1119,High,1,0.783,5.595,7,0.0006997319034852547,7.217
Metal,187,Medium,0,0.337,0.935,5,0.0018021390374331552,4.663
Bioplastic,509,Medium,1,0.356,2.545,7,0.0006994106090373281,7.644
Metal,1089,Low,1,1.96,5.445,5,0.0017998163452708907,4.04
Plastic,788,High,0,1.655,3.94,2,0.002100253807106599,0.345
Bioplastic,1953,Medium,1,1.367,9.765,7,0.0006999487967229902,6.633
Metal,1784,Low,1,3.211,8.92,5,0.0017998878923766815,2.789
Paper,1092,Low,1,0.983,5.46,9,0.0009001831501831501,9.017
Glass,946,High,1,1.419,4.73,6,0.0015,5.5809999999999995
Plastic,429,Medium,1,0.901,2.145,2,0.0021002331002331004,2.099
Metal,944,Medium,1,1.699,4.72,5,0.0017997881355932203,4.301
Metal,258,Low,1,0.464,1.29,5,0.0017984496124031008,5.536
Paper,1700,High,1,1.53,8.5,9,0.0009,8.47
Bioplastic,880,Low,1,0.616,4.4,7,0.0007,7.384
Bioplastic,915,Medium,1,0.64,4.575,7,0.0006994535519125683,7.36
Metal,389,Low,1,0.7,1.945,5,0.0017994858611825191,5.3
Metal,1665,Low,0,2.997,8.325,5,0.0018,2.003
Bioplastic,1940,High,1,1.358,9.7,7,0.0007000000000000001,6.6419999999999995
Glass,306,Low,0,0.459,1.53,6,0.0015,5.541
Metal,1412,High,0,2.542,7.06,5,0.00180028328611898,2.458
Bioplastic,227,Medium,1,0.159,1.135,7,0.0007004405286343612,7.841
Ceramic,400,Low,0,0.48,2.0,5,0.0012,4.52
Plastic,1529,Low,1,3.211,7.645,2,0.0021000654022236757,-0.21099999999999985
Bioplastic,391,Low,1,0.274,1.955,7,0.00070076726342711,7.726
Plastic,583,Medium,1,1.224,2.915,2,0.0020994854202401373,1.776
Bioplastic,398,Low,0,0.279,1.99,7,0.0007010050251256282,6.721
Glass,1449,Medium,1,2.174,7.245,6,0.0015003450655624569,4.8260000000000005
Bioplastic,284,Medium,1,0.199,1.42,7,0.0007007042253521127,7.801
Bioplastic,974,Low,1,0.682,4.87,7,0.0007002053388090349,7.318
Bioplastic,1595,Medium,1,1.117,7.975,7,0.0007003134796238244,6.883
Ceramic,845,Medium,1,1.014,4.225,5,0.0012000000000000001,4.986
Plastic,1730,Medium,1,3.633,8.65,2,0.0021,-0.633
Ceramic,888,Medium,1,1.066,4.44,5,0.0012004504504504504,4.934
Metal,365,Low,1,0.657,1.825,5,0.0018000000000000002,5.343
Plastic,643,Medium,1,1.35,3.215,2,0.002099533437013997,1.65
Metal,1121,Low,1,2.018,5.605,5,0.0018001784121320248,3.982
Bioplastic,321,Low,1,0.225,1.605,7,0.0007009345794392524,7.775
Glass,1619,Low,1,2.429,8.095,6,0.0015003088326127239,4.571
Paper,610,High,1,0.549,3.05,9,0.0009000000000000001,9.451
Ceramic,1099,High,1,1.319,5.495,5,0.001200181983621474,4.681
Ceramic,1853,Low,1,2.224,9.265,5,0.0012002158661629792,3.776
Paper,744,Medium,0,0.67,3.72,9,0.0009005376344086022,8.33
Paper,924,High,1,0.832,4.62,9,0.0009004329004329004,9.168
Metal,1197,Low,1,2.155,5.985,5,0.0018003341687552212,3.845
Ceramic,1978,Low,1,2.374,9.89,5,0.0012002022244691607,3.626
Bioplastic,578,Medium,0,0.405,2.89,7,0.0007006920415224914,6.595
Glass,917,Medium,1,1.375,4.585,6,0.0014994547437295529,5.625
Bioplastic,1019,Low,1,0.713,5.095,7,0.0006997055937193326,7.287
Bioplastic,1092,Low,0,0.764,5.46,7,0.0006996336996336997,6.236
Paper,854,Medium,1,0.769,4.27,9,0.0009004683840749414,9.231
Bioplastic,1963,Medium,1,1.374,9.815,7,0.0006999490575649517,6.6259999999999994
Glass,106,Low,1,0.159,0.53,6,0.0015,6.841
Plastic,559,Low,1,1.174,2.795,2,0.002100178890876565,1.826
Glass,245,High,0,0.367,1.225,6,0.0014979591836734693,5.633
Glass,358,Low,0,0.537,1.79,6,0.0015,5.463
Bioplastic,1685,Medium,1,1.179,8.425,7,0.0006997032640949555,6.821
Plastic,154,Low,1,0.323,0.77,2,0.0020974025974025974,2.677
Bioplastic,1514,Medium,1,1.06,7.57,7,0.0007001321003963012,6.9399999999999995
Paper,1686,Medium,1,1.517,8.43,9,0.0008997627520759193,8.483
Paper,940,Medium,1,0.846,4.7,9,0.0009,9.154
Glass,1148,High,1,1.722,5.74,6,0.0015,5.2780000000000005
Paper,1026,Low,1,0.923,5.13,9,0.0008996101364522418,9.077
Glass,598,Medium,1,0.897,2.99,6,0.0015,6.103
Bioplastic,1916,Low,1,1.341,9.58,7,0.0006998956158663883,6.659
Paper,1827,Low,1,1.644,9.135,9,0.0008998357963875205,8.356
Metal,1338,Medium,1,2.408,6.69,5,0.0017997010463378176,3.592
Paper,270,High,0,0.243,1.35,9,0.0009,8.757
Plastic,456,Low,1,0.958,2.28,2,0.002100877192982456,2.042
Metal,522,Medium,1,0.94,2.61,5,0.0018007662835249042,5.0600000000000005
Plastic,1667,Low,1,3.501,8.335,2,0.0021001799640071985,-0.5009999999999999
Paper,445,High,1,0.401,2.225,9,0.000901123595505618,9.599
Ceramic,1017,Medium,0,1.22,5.085,5,0.00119960668633235,3.7800000000000002
Paper,139,Low,1,0.125,0.695,9,0.0008992805755395684,9.875
Paper,452,High,1,0.407,2.26,9,0.0009004424778761061,9.593
Metal,390,Medium,1,0.702,1.95,5,0.0018,5.298
Ceramic,415,Medium,1,0.498,2.075,5,0.0012,5.502
Plastic,700,High,0,1.47,3.5,2,0.0021,0.53
Metal,1423,Medium,1,2.561,7.115,5,0.0017997189037245256,3.439
Glass,1670,Low,1,2.505,8.35,6,0.0015,4.495
Bioplastic,360,Low,1,0.252,1.8,7,0.0007,7.748
Plastic,1094,Medium,1,2.297,5.47,2,0.00209963436928702,0.7029999999999998
Plastic,1841,Low,1,3.866,9.205,2,0.0020999456816947312,-0.8660000000000001
Ceramic,1265,Low,1,1.518,6.325,5,0.0012000000000000001,4.482
Metal,522,Medium,1,0.94,2.61,5,0.0018007662835249042,5.0600000000000005
Glass,740,Medium,1,1.11,3.7,6,0.0015,5.89
Ceramic,1558,Medium,0,1.87,7.79,5,0.0012002567394094994,3.13
Ceramic,345,Medium,1,0.414,1.725,5,0.0012,5.586
Paper,554,Low,1,0.499,2.77,9,0.0009007220216606498,9.501
Glass,657,Low,1,0.986,3.285,6,0.0015007610350076103,6.014
Bioplastic,616,Low,0,0.431,3.08,7,0.0006996753246753247,6.569
Bioplastic,1281,High,1,0.897,6.405,7,0.0007002341920374708,7.103
Plastic,360,High,1,0.756,1.8,2,0.0021,2.2439999999999998
Bioplastic,1194,Medium,1,0.836,5.97,7,0.0007001675041876047,7.164
Plastic,416,Medium,1,0.874,2.08,2,0.0021009615384615385,2.126
Ceramic,189,Low,1,0.227,0.945,5,0.0012010582010582012,5.773
Plastic,1579,Low,1,3.316,7.895,2,0.0021000633312222923,-0.31599999999999984
Bioplastic,1095,Medium,1,0.766,5.475,7,0.0006995433789954338,7.234
Glass,1314,Low,1,1.971,6.57,6,0.0015,5.029
Plastic,190,Medium,1,0.399,0.95,2,0.0021000000000000003,2.601
Ceramic,1113,High,1,1.336,5.565,5,0.0012003593890386344,4.664
Glass,1738,Low,1,2.607,8.69,6,0.0015,4.393
Plastic,1755,Medium,1,3.686,8.775,2,0.0021002849002849005,-0.6859999999999999
Plastic,223,High,1,0.468,1.115,2,0.0020986547085201793,2.532
Paper,386,Low,1,0.347,1.93,9,0.0008989637305699481,9.653
Ceramic,1203,Low,1,1.444,6.015,5,0.0012003325020781379,4.556
Metal,482,Medium,1,0.868,2.41,5,0.0018008298755186722,5.132
Bioplastic,1916,Medium,0,1.341,9.58,7,0.0006998956158663883,5.659
Ceramic,772,Medium,1,0.926,3.86,5,0.0011994818652849742,5.074
Plastic,198,Low,1,0.416,0.99,2,0.002101010101010101,2.584
Plastic,455,Low,1,0.956,2.275,2,0.002101098901098901,2.044
Bioplastic,1433,Medium,1,1.003,7.165,7,0.0006999302163293789,6.997
Glass,616,Medium,1,0.924,3.08,6,0.0015,6.076
Paper,1476,Medium,1,1.328,7.38,9,0.000899728997289973,8.672
Metal,1285,High,1,2.313,6.425,5,0.0018000000000000002,3.687
Ceramic,329,Medium,1,0.395,1.645,5,0.0012006079027355623,5.605
Bioplastic,1016,High,1,0.711,5.08,7,0.0006998031496062992,7.289
Ceramic,1145,Medium,1,1.374,5.725,5,0.0012000000000000001,4.6259999999999994
Glass,626,Low,1,0.939,3.13,6,0.0014999999999999998,6.061
Plastic,462,High,1,0.97,2.31,2,0.0020995670995670995,2.0300000000000002
Paper,1411,Medium,1,1.27,7.055,9,0.0009000708717221828,8.73
Bioplastic,710,Medium,0,0.497,3.55,7,0.0007,6.503
Plastic,1572,High,1,3.301,7.86,2,0.0020998727735368956,-0.30100000000000016
Glass,1769,Medium,1,2.654,8.845,6,0.0015002826455624645,4.346
Glass,1072,Medium,1,1.608,5.36,6,0.0015,5.3919999999999995
Metal,1062,Medium,0,1.912,5.31,5,0.001800376647834275,3.088
Ceramic,1072,High,1,1.286,5.36,5,0.0011996268656716419,4.714
Plastic,1335,High,1,2.804,6.675,2,0.002100374531835206,0.19600000000000017
Metal,597,Low,1,1.075,2.985,5,0.0018006700167504186,4.925
Glass,410,Medium,0,0.615,2.05,6,0.0015,5.385
Metal,193,High,0,0.347,0.965,5,0.0017979274611398962,4.6530000000000005
Metal,1699,Low,1,3.058,8.495,5,0.0017998822836962918,2.942
Bioplastic,1541,Medium,1,1.079,7.705,7,0.000700194678780013,6.921
Glass,1757,Medium,1,2.635,8.785,6,0.0014997154240182127,4.365
Plastic,790,Low,0,1.659,3.95,2,0.0021,0.34099999999999997
Metal,1215,High,1,2.187,6.075,5,0.0018,3.813
Metal,198,Low,1,0.356,0.99,5,0.0017979797979797978,5.644
Metal,1938,High,1,3.488,9.69,5,0.0017997936016511868,2.512
Paper,1492,Medium,1,1.343,7.46,9,0.0009001340482573726,8.657
Glass,382,Medium,1,0.573,1.91,6,0.0014999999999999998,6.427
Paper,1077,High,1,0.969,5.385,9,0.0008997214484679666,9.031
Paper,1252,Low,1,1.127,6.26,9,0.0009001597444089457,8.873
Plastic,943,Low,1,1.98,4.715,2,0.0020996818663838812,1.02
Metal,595,High,1,1.071,2.975,5,0.0018,4.929
Glass,758,Low,1,1.137,3.79,6,0.0015,5.8629999999999995
Paper,917,High,1,0.825,4.585,9,0.0008996728462377317,9.175
Bioplastic,551,High,1,0.386,2.755,7,0.0007005444646098004,7.614
Ceramic,1067,Low,0,1.28,5.335,5,0.0011996251171508903,3.7199999999999998
Metal,1045,Low,1,1.881,5.225,5,0.0018,4.119
